feature,importance
pe_ratio,0.3771955150431107
rsi_14,0.23227980913200602
beta,0.07164701013067594
revenue_growth,0.05558011755762234
short_percent,0.05415814504319424
30d_volatility,0.03893808366587735
news_volume,0.03735581290507208
debt_to_equity,0.03012584655454616
return_on_equity,0.025234807913999343
relevance_mean,0.01807014571507796
current_ratio,0.01791202430523249
sentiment_mean,0.015083005361343178
sentiment_std,0.014180659035438378
volume_zscore,0.012239017636803564
